classPath,ruleName,priority,description,startLine,endLine
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidLiteralsInIfCondition,3,"Avoid using literals in if statements",1398,1398
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,SimplifyBooleanReturns,3,"This if statement can be replaced by `return !{condition} || {elseBranch};`",1549,1550
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'assertQueryExtensions(String)' has a cyclomatic complexity of 10.",1580,1580
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'setImplicitTypes(Value, Value, Class<?>, Resolver, OrderedMap<Object, Class<?>>, String)' has a cyclomatic complexity of 13.",1622,1622
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,NPathComplexity,3,"The method 'setImplicitTypes(Value, Value, Class<?>, Resolver, OrderedMap<Object, Class<?>>, String)' has an NPath complexity of 1152, current threshold is 200",1622,1622
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `parser` on foreign value `node` (degree 1)",1678,1678
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `from` on foreign value `subContext` (degree 1)",1692,1692
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projections` on foreign value `subexp` (degree 1)",1697,1697
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projections` on foreign value `subexp` (degree 1)",1698,1698
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'getParameter(String, boolean, boolean)' has a cyclomatic complexity of 10.",1716,1716
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AssignmentInOperand,3,"Avoid assignments in operands",1772,1772
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",1797,1797
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CognitiveComplexity,3,"The method 'getIdentifier(JPQLNode)' has a cognitive complexity of 25, current threshold is 15",1804,1804
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'getIdentifier(JPQLNode)' has a cyclomatic complexity of 12.",1804,1804
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'validateMapPath(JPQLNode, JPQLNode)' has a cyclomatic complexity of 10.",1852,1852
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'getGeneralIdentifier(JPQLNode, boolean)' has a cyclomatic complexity of 14.",1883,1883
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `parent` on foreign value `node` (degree 1)",1896,1896
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",1948,1948
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidCatchingGenericException,3,"Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block",1993,1993
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CognitiveComplexity,3,"The method 'getPath(JPQLNode, boolean, boolean)' has a cognitive complexity of 17, current threshold is 15",2039,2039
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'getPath(JPQLNode, boolean, boolean)' has a cyclomatic complexity of 12.",2039,2039
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `subquery` on foreign value `ctx()` (degree 1)",2053,2053
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2072,2072
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2074,2074
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2075,2075
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2078,2078
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2126,2126
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2141,2141
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2163,2163
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `parsed` on foreign value `ctx()` (degree 1)",2215,2215
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2258,2258
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidLiteralsInIfCondition,3,"Avoid using literals in if statements",2258,2258
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",2282,2282
